"External ID","Account/Name","Amount","Description","Discount (%)","Invoice Reference/Invoice Reference","Invoice Reference/Invoice Number","Partner/Name","Product/Name","Quantity","Sequence","Source Document","Taxes/Tax Code","Unit Price","Unit of Measure/Unit of Measure","Invoice Reference/Old Name"
"__export__.account_invoice_line_12060","Sales - Products","32.71","[3.45.073.237] Lightning Blue Mirror","","SO025","INV/2014/0086","CASH SALE","Lightning Blue Mirror","1.0","10","SO025","SR C","35.0","Unit(s)",""
"__export__.account_invoice_line_12061","Sales - Products","32.71","[3.45.073.241] Lightning Silver/ Mirror","","SO025","INV/2014/0086","CASH SALE","Lightning Silver/ Mirror","1.0","10","SO025","SR C","35.0","Unit(s)",""
"__export__.account_invoice_line_12062","Sales - Products","216.07","[1.10.025.101.26] Female HydroSpeed 2 Race John 26","","SO026","INV/2014/0087","VISA","Female HydroSpeed 2 Race John 26","1.0","10","SO026","SR C","231.2","Unit(s)",""
"__export__.account_invoice_line_12063","Sales - Products","111.4","[1.10.132.101.28] Male Hydrospeed 2 Jammer 28","","SO026","INV/2014/0087","VISA","Male Hydrospeed 2 Jammer 28","1.0","10","SO026","SR C","119.2","Unit(s)",""
"__export__.account_invoice_line_12064","Sales - Products","167.29","[LTK7R45005] LifeTrak R450 Midnight Black/Titanium","","SO026","INV/2014/0087","VISA","LifeTrak R450 Midnight Black/Titanium","1.0","10","SO026","SR C","179.0","Unit(s)",""
"__export__.account_invoice_line_12065","Sales - Products","64.49","[1.05.002.107.50] Glide Snorkel Mint Green Sr","","SO027","INV/2014/0088","CASH SALE","Glide Snorkel Mint Green Sr","1.0","10","SO027","SR C","69.0","Unit(s)",""
"__export__.account_invoice_line_12066","Sales - Products","552.83","[1.05.002.118.50] Glide Snorkel Ocean Blue Sr","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Glide Snorkel Ocean Blue Sr","13.0","10","SO028","SR","60.75","Unit(s)",""
"__export__.account_invoice_line_12067","Sales - Products","127.58","[1.05.002.107.50] Glide Snorkel Mint Green Sr","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Glide Snorkel Mint Green Sr","3.0","10","SO028","SR","60.75","Unit(s)",""
"__export__.account_invoice_line_12068","Sales - Products","170.1","[1.05.009.48] Swimmer's Snorkel Jr","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Swimmer's Snorkel Jr","4.0","10","SO028","SR","60.75","Unit(s)",""
"__export__.account_invoice_line_12069","Sales - Products","59.5","[1.05.048.07] Thermal Swim Shirt XL","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Thermal Swim Shirt XL","1.0","10","SO028","SR","85.0","Unit(s)",""
"__export__.account_invoice_line_12070","Sales - Products","17.5","[3.45.008.103] Fruit Basket Blue Berry","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Fruit Basket Blue Berry","1.0","10","SO028","SR","25.0","Unit(s)",""
"__export__.account_invoice_line_12071","Sales - Products","17.5","[3.45.008.105] Fruit Basket Green Sour Apple","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Fruit Basket Green Sour Apple","1.0","10","SO028","SR","25.0","Unit(s)",""
"__export__.account_invoice_line_12072","Sales - Products","17.5","[3.45.008.112] Fruit Basket Pink Cherry","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Fruit Basket Pink Cherry","1.0","10","SO028","SR","25.0","Unit(s)",""
"__export__.account_invoice_line_12073","Sales - Products","623.0","[1.05.120] Tempo Trainer Pro","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Tempo Trainer Pro","10.0","10","SO028","SR","89.0","Unit(s)",""
"__export__.account_invoice_line_12074","Sales - Products","17.5","[3.45.008.110] Fruit Basket Purple Grape","30.0","SO028","INV/2014/0089","Fishlike International Pte Ltd","Fruit Basket Purple Grape","1.0","10","SO028","SR","25.0","Unit(s)",""
"__export__.account_invoice_line_12075","Cost of Expenses - Products","83.6","[1.05.145.05] Agility Paddle Medium","","218","EXJ/2014/0035","FINIS Inc","Agility Paddle Medium","10.0","","PO00021","","8.36","Unit(s)",""
"__export__.account_invoice_line_12076","Cost of Expenses - Products","33.44","[1.05.145.06] Agility Paddle Large","","218","EXJ/2014/0035","FINIS Inc","Agility Paddle Large","4.0","","PO00021","","8.36","Unit(s)",""
"__export__.account_invoice_line_12077","Cost of Expenses - Products","45.6","[1.05.020.50] Freestyler Hand Paddles Senior","","218","EXJ/2014/0035","FINIS Inc","Freestyler Hand Paddles Senior","6.0","","PO00021","","7.6","Unit(s)",""
"__export__.account_invoice_line_12078","Cost of Expenses - Products","36.48","[1.05.006.48] Freestyler Hand Paddles Junior","","218","EXJ/2014/0035","FINIS Inc","Freestyler Hand Paddles Junior","6.0","","PO00021","","6.08","Unit(s)",""
"__export__.account_invoice_line_12079","Cost of Expenses - Products","36.0","[3.05.002.05] Instinct Sculling Paddle M","","218","EXJ/2014/0035","FINIS Inc","Instinct Sculling Paddle M","6.0","","PO00021","","6.0","Unit(s)",""
"__export__.account_invoice_line_12080","Cost of Expenses - Products","36.0","[3.05.002.06] Instinct Sculling Paddle L","","218","EXJ/2014/0035","FINIS Inc","Instinct Sculling Paddle L","6.0","","PO00021","","6.0","Unit(s)",""
"__export__.account_invoice_line_12081","Cost of Expenses - Products","18.24","[F Cap Silicone White] Cap Silicone White","","218","EXJ/2014/0035","FINIS Inc","Cap Silicone White","6.0","","PO00021","","3.04","Unit(s)",""
