ID,Invoice Number,Total
4514,INV/2014/1628,430.68
4512,INV/2014/1627,350.02
4511,INV/2014/1626,175.01
4510,INV/2014/1625,175.01
4509,INV/2014/1624,262.51
4508,INV/2014/1623,175.01
4507,INV/2014/1622,175.01
4505,INV/2014/1621,460.74
4504,INV/2014/1620,2419.66
4503,INV/2014/1619,347.69
4493,INV/2014/1618,194.59
4492,INV/2014/1617,3516.56
4490,INV/2014/0307,3516.56
4482,INV/2014/0306,3144.84
4480,INV/2014/0305,1923.44
4479,INV/2014/0304,2277.07
4478,INV/2014/0303,2450.84
4477,INV/2014/0302,1256.72
4476,INV/2014/0301,1397
4475,INV/2014/0300,1189.31
4474,INV/2014/0299,1243.88
4473,INV/2014/0298,1076.64
4472,INV/2014/0297,576.2
4471,INV/2014/0296,867.99
4470,INV/2014/0295,1075.68
4467,INV/2014/0294,
4466,INV/2014/0293,1148.59
4464,INV/2014/0292,1148.59
4462,INV/2014/0291,5617.5
4449,INV/2014/0290,559.9
4448,INV/2014/0289,543.5
4447,INV/2014/0288,1423.96
4446,INV/2014/0287,4648
4445,INV/2014/0286,1875.5
4444,INV/2014/0285,4569.54
4443,INV/2014/0284,736.2
4442,INV/2014/0283,255
4434,INV/2014/0282,1700.24
4433,INV/2014/0281,3521.38
4427,INV/2014/0280,530.59
4424,INV/2014/0279,2250
4423,INV/2014/0278,575.35
4422,INV/2014/0277,425.5
4420,INV/2014/0276,920
4419,INV/2014/0275,426.37
4418,INV/2014/0274,2462.61
4416,INV/2014/0273,209.49
4413,INV/2014/0272,25680
4412,INV/2014/0271,268.5
4410,INV/2014/0270,1135.1
4409,INV/2014/0269,289.1
4408,INV/2014/0268,1483.55
4407,INV/2014/0267,437.46
4406,INV/2014/0266,3478.89
4405,INV/2014/0265,19.43
4403,INV/2014/0264,317
4402,INV/2014/0263,222.5
4401,INV/2014/0262,336
4390,INV/2014/0261,1118.59
4389,INV/2014/0260,686
4388,INV/2014/0259,517
4383,INV/2014/0258,1180.32
4379,INV/2014/0257,1374.8
4378,INV/2014/0256,1084.3
4377,INV/2014/0255,730.14
4375,INV/2014/0254,339.66
4374,INV/2014/0253,1326.4
4373,INV/2014/0252,1891.53
4372,INV/2014/0251,179
4371,INV/2014/0250,237.5
4370,INV/2014/0249,2249.25
4369,INV/2014/0248,2184
4368,INV/2014/0248,62.1
4364,INV/2014/0247,132.02
4363,INV/2014/0246,670.55
4362,INV/2014/0245,578.09
4359,INV/2014/0244,103.04
4358,INV/2014/0243,338.7
4356,INV/2014/0242,158.36
4355,INV/2014/0241,218.9
4354,INV/2014/0239,346.52
4353,INV/2014/0240,99
4352,INV/2014/0238,1169.7
4351,INV/2014/0237,1242.34
4350,INV/2014/0236,504
4349,INV/2014/0235,232.36
4348,INV/2014/0234,402.51
4347,INV/2014/0233,1080
4339,INV/2014/0232,219.95
4334,INV/2014/0231,953.13
4333,INV/2014/0230,840.9
4332,INV/2014/0229,2196.71
4331,INV/2014/0228,930
4323,INV/2014/0227,489.48
4322,INV/2014/0226,264.76
4321,INV/2014/0225,2059.09
4320,INV/2014/0224,92.43
4319,INV/2014/0223,795.8
4317,INV/2014/0222,62.1
4316,INV/2014/0221,38
4309,INV/2014/0220,823.9
4307,INV/2014/0219,83.9
4306,INV/2014/0218,35
4305,INV/2014/0217,182
4304,INV/2014/0216,2187.5
4303,INV/2014/0215,1514.48
4302,INV/2014/0214,628.42
4294,INV/2014/0213,1453.59
4288,INV/2014/0212,235.63
4284,INV/2014/0211,
4283,INV/2014/0210,8.5
4281,INV/2014/0209,1155.6
4278,INV/2014/0208,34240
4276,INV/2014/0207,399.16
4261,INV/2014/0206,5029
4260,INV/2014/0205,1926
4259,INV/2014/0204,3210
4258,INV/2014/0203,447.5
4257,INV/2014/0202,1267
4253,INV/2014/0201,
4249,INV/2014/0200,
4248,INV/2014/0199,330.63
4246,INV/2014/0198,2204.2
4245,INV/2014/0197,585.83
4235,INV/2014/0196,114
4232,INV/2014/0195,194.6
4231,INV/2014/0194,1252.98
4230,INV/2014/0193,460.1
4229,INV/2014/0192,301
4228,INV/2014/0191,158
4227,INV/2014/0190,277
4226,INV/2014/0189,279
4225,INV/2014/0188,1177
4224,INV/2014/0187,1378.16
4223,INV/2014/0186,121.99
4220,INV/2014/0185,61
4212,INV/2014/0184,263.96
4211,INV/2014/0183,318.32
4210,INV/2014/0182,257.25
4209,INV/2014/0181,1075.9
4208,INV/2014/0180,17008.4
4207,INV/2014/0179,397
4206,INV/2014/0178,2996
4205,INV/2014/0177,4592.44
4204,INV/2014/0176,511.6
4189,INV/2014/0175,123.7
4188,INV/2014/0174,388
4185,INV/2014/0173,296.18
4183,INV/2014/0172,4143.05
4182,INV/2014/0171,1167.61
4176,INV/2014/0170,551.05
4175,INV/2014/0169,440.12
4174,INV/2014/0168,220.58
4173,INV/2014/0167,269.01
4172,INV/2014/0166,289.81
4171,INV/2014/0165,1093.93
4170,INV/2014/0164,103.04
4169,INV/2014/0163,530.72
4158,INV/2014/0162,569
4157,INV/2014/0161,92.2
4156,INV/2014/0160,784.04
4155,INV/2014/0159,437.5
4154,INV/2014/0158,629.3
4153,INV/2014/0157,326
4152,INV/2014/0156,1298.5
4151,INV/2014/0155,55.2
4148,INV/2014/0154,146.93
4147,INV/2014/0153,531.9
4144,INV/2014/0152,2354
4141,INV/2014/0151,1845.75
4140,INV/2014/0150,289
4134,INV/2014/0149,486.5
4133,INV/2014/0148,521.25
4132,INV/2014/0147,757.4
4131,INV/2014/0146,2796.5
4126,INV/2014/0145,488.85
4125,INV/2014/0144,1042.55
4124,INV/2014/0143,312.75
4121,INV/2014/0142,
4120,INV/2014/0141,646.82
4119,INV/2014/0140,646.82
4118,INV/2014/0139,508.21
4117,INV/2014/0138,382.92
4116,INV/2014/0137,470.43
4115,INV/2014/0136,557.93
4114,INV/2014/0135,204
4113,INV/2014/0134,453
4112,INV/2014/0133,423
4110,INV/2014/0132,882.75
4109,INV/2014/0131,1305.57
4108,INV/2014/0130,746
4106,INV/2014/0129,1225.95
4104,INV/2014/0128,1277.47
4103,INV/2014/0127,1165.34
4102,INV/2014/0126,1415.93
4101,INV/2014/0125,2685.16
4100,INV/2014/0124,777.03
4099,INV/2014/0123,777.03
4098,INV/2014/0122,2873.91
4097,INV/2014/0121,1498
4070,INV/2014/0120,5037.56
4063,INV/2014/S54977,823.9
4062,INV/2014/S54976,642
4061,INV/2014/S54974,1712
4060,INV/2014/S54959,1498
4059,INV/2014/S54943,2140
4058,INV/2014/S54927,337.05
4057,INV/2014/S54924,1249.76
4056,INV/2014/I55061,1503.55
4055,INV/2014/I55059,220.71
4054,INV/2014/I55054,539.91
4053,INV/2014/I55053,929.25
4052,INV/2014/I55052,451.6
4051,INV/2014/I55051,507
4050,INV/2014/I55050,199
4049,INV/2014/I55049,35
4048,INV/2014/I55045,375.9
4047,INV/2014/I55044,375.9
4046,INV/2014/I55043,470.4
4045,INV/2014/I55042,470.4
4044,INV/2014/I55041,389.2
4043,INV/2014/I55037,718.09
4041,INV/2014/I55036,220
4040,INV/2014/I55034,294.5
4039,INV/2014/I55033,313.6
4038,INV/2014/I55032,313.6
4037,INV/2014/I55031,346.5
4036,INV/2014/I55028,17
4035,INV/2014/I55027,354.5
4034,INV/2014/I55025,331.8
4033,INV/2014/I55024,175
4032,INV/2014/I55020,976.39
4031,INV/2014/I55018,921
4030,INV/2014/I55017,1413.73
4029,INV/2014/I55013,60
4028,INV/2014/I55012,16
4027,INV/2014/I55010,486.5
4026,INV/2014/I55008,1098.3
4025,INV/2014/I55005,437
4024,INV/2014/I55004,1999.2
4023,INV/2014/I55003,236.93
4022,INV/2014/I55002,89
4021,INV/2014/I55000,67.5
4020,INV/2014/I54999,1342.52
4019,INV/2014/I54998,1418.71
4018,INV/2014/I54997,1210.06
4016,INV/2014/I54995,1488.26
4015,INV/2014/I54994,1210.06
4014,INV/2014/I54993,3464.02
4013,INV/2014/I54992,97.3
4011,INV/2014/I54991,486.5
4010,INV/2014/I54990,927.25
4009,INV/2014/I54989,178
4008,INV/2014/I54988,32
4007,INV/2014/I54986,525
4006,INV/2014/I54983,490
4005,INV/2014/I54980,128
4004,INV/2014/I54971,1334.34
4003,INV/2014/I54968,99
4002,INV/2014/I54967,701.92
4001,INV/2014/I54966,701.92
4000,INV/2014/I54965,665.54
3999,INV/2014/I54964,701.92
3998,INV/2014/I54963,701.92
3997,INV/2014/I54962,665.54
3996,INV/2014/I54961,841.02
3995,INV/2014/I54960,701.92
3994,INV/2014/I54954,58.5
3993,INV/2014/I54951,68
3992,INV/2014/I54950,1942.05
3991,INV/2014/I54939,365
3990,INV/2014/I54935,346.5
3989,INV/2014/0119,253.83
3988,INV/2014/0118,88.56
3987,INV/2014/0117,300.7
3986,INV/2014/I54925,207.9
3985,INV/2014/0115,248.56
3984,INV/2014/0113,117.54
3983,INV/2014/0114,384.93
3982,INV/2014/I54912,1013.6
3981,INV/2014/0112,247.63
3980,INV/2014/0111,606.86
3979,INV/2014/I54911,111
3978,INV/2014/0110,687.36
3977,INV/2014/I54908,45
3976,INV/2014/I54905,1267
3975,INV/2014/0109,299
3974,INV/2014/0108,326
3973,INV/2014/0107,253
3972,INV/2014/0106,289
3971,INV/2014/0105,179
3970,INV/2014/I54903,370
3969,INV/2014/I54898,518.13
3968,INV/2014/I54890,557.9
3967,INV/2014/I54882,1410.05
3966,INV/2014/I54839,488
3965,INV/2014/I54771,429.75
3964,INV/2014/I54720,874.19
3963,INV/2014/I54616,429.75
3961,INV/2014/I54885,468.75
3959,INV/2014/I54859,69.3
3958,INV/2014/I54868,1595
3957,INV/2014/I54901,679.1
3956,INV/2014/I54892,346.5
3955,INV/2014/I54878,11031.7
3953,INV/2014/S54838,1781.55
3952,INV/2014/I54879,1042.72
3951,INV/2014/I54881,1025.92
3950,INV/2014/I54887,281.25
3949,INV/2014/I54884,281.25
3948,INV/2014/I54886,281.25
3946,INV/2014/I54880,1201.4
3943,INV/2014/I54883,1234.57
3942,INV/2014/I54871,87.5
3941,INV/2014/I54864,576.1
3940,INV/2014/I54873,679.1
3937,INV/2014/I54849,125
3936,INV/2014/I54845,417.9
3935,INV/2014/I54836,2498.24
3934,INV/2014/I54835,3126.65
3933,INV/2014/I54805,722.04
3932,INV/2014/I54804,722.04
3931,INV/2014/I54801,722.04
3930,INV/2014/I54800,722.04
3929,INV/2014/I54799,722.04
3928,INV/2014/I54798,722.04
3927,INV/2014/I54803,722.04
3926,INV/2014/I54802,722.04
3925,INV/2014/I54833,219.95
3924,INV/2014/I54862,1022.22
3923,INV/2014/I54796,430.5
3922,INV/2014/S54812,745.79
3921,INV/2014/S54810,6420
3920,INV/2014/S54797,535
3919,INV/2014/I54779,701.92
3918,INV/2014/I54782,701.92
3917,INV/2014/I54778,877.4
